"","TDYLD"
"1",0.000402410806605191
"2",0.000394058130697816
"3",0.000306437876660404
"4",0.000355362047671504
"5",0.000357592670064522
"6",0.000377075815457095
"7",0.000292799018186019
"8",0.000369003376985644
"9",0.000371785114081202
"10",0.000370119994318685
"11",0.000394892685311676
"12",0.000394893872713853
"13",0.000391828907076119
"14",0.000298638113805261
"15",0.000383200206602652
"16",0.000374013225425296
"17",0.000378188666612544
"18",0.000381530451379897
"19",0.000386540773431809
"20",0.000385427258364324
"21",0.000399626166098344
"22",0.000321472483828744
"23",0.000402131374230175
"24",0.000391273751846777
"25",0.000387654824632655
"26",0.000382086582602748
"27",0.000303376734520189
"28",0.000372621510678961
"29",0.000379304290756943
"30",0.00038069508245675
"31",0.000392665868923281
"32",0.000393501246388928
"33",0.000393500679928938
"34",0.000394894793565692
"35",0.000401295411524005
"36",0.000313399785403901
"37",0.000389324617163789
"38",0.000378746257420515
"39",0.000369000348665605
"40",0.000355645531574966
"41",0.000307838341476963
"42",0.000390447376697578
"43",0.000384596866831011
"44",0.000392675446595492
"45",0.000318397432521822
"46",0.000401018997264746
"47",0.000323407845019164
"48",0.000387932236407318
"49",0.000385985043744874
"50",0.000387377576512193
"51",0.000321462875099376
"52",0.000389601662784678
"53",0.00039628500826927
"54",0.000394893376825189
"55",0.000308109290056313
"56",0.000372341893104089
"57",0.000379863185059115
"58",0.000414941096556598
"59",0.000407977963232442
"60",0.000308665153347709
"61",0.000396008948463145
"62",0.000422180127173988
"63",0.000430532668063366
"64",0.000434710840540475
"65",0.00037130172714761
"66",0.000459217603990814
"67",0.000459495998659243
"68",0.000482893389632144
"69",0.000379956482726262
"70",0.000476489722275097
"71",0.000499884742897416
"72",0.000508521022605901
"73",0.000512144077221111
"74",0.000404180694900225
"75",0.000508521370993442
"76",0.000499050782692967
"77",0.000505734279133696
"78",0.000482894236744524
"79",0.000414209602779048
"80",0.000531925328649985
"81",0.000530254273168218
"82",0.00053220382941932
"83",0.000541679537311879
"84",0.000563969365080963
"85",0.000574560883978226
"86",0.000595189209225744
"87",0.000601870437230811
"88",0.000469104080138338
"89",0.000597971622055882
"90",0.000587939778909696
"91",0.00059128168626299
"92",0.000604662966173786
"93",0.000486939433491651
"94",0.000608844470959546
"95",0.000605509540501759
"96",0.00058963294559633
"97",0.000495281216670751
"98",0.000660141408437731
"99",0.000529283273573267
"100",0.000685787052561837
"101",0.000641471977875119
"102",0.000676872053925415
"103",0.000592397445829729
"104",0.000442902662181277
"105",0.000538793867223442
"106",0.000700299567357954
"107",0.000539349463220429
"108",0.000703085821056826
"109",0.000705041574704968
"110",0.000725126483190008
"111",0.000709779044203884
"112",0.00055412697412649
"113",0.000686909336395702
"114",0.000721785682136433
"115",0.00075887717414691
"116",0.00076864708344071
"117",0.000793473138355871
"118",0.000777293903609699
"119",0.000622147290138431
"120",0.000760830499077159
"121",0.000768640447337043
"122",0.00074911543584455
"123",0.000759437040026567
"124",0.000771712672496871
"125",0.0007739470117889
"126",0.000607954167752833
"127",0.000754135188922866
"128",0.00074520819767554
"129",0.000719540633749682
"130",0.000693055784322993
"131",0.000575332065687162
"132",0.000721496947461597
"133",0.00072038644109651
"134",0.000740187827380501
"135",0.000745485755779152
"136",0.000742139908416428
"137",0.000741301636623337
"138",0.000723726960563331
"139",0.00073320986270109
"140",0.000593453348314954
"141",0.000735999908008989
"142",0.000714246361861903
"143",0.000717867202342237
"144",0.000713689012969754
"145",0.000570581336996057
"146",0.000709502283414043
"147",0.000714543543206325
"148",0.000697536646433683
"149",0.000696684920267865
"150",0.000741301533483618
"151",0.000601219961575916
"152",0.000757759044319739
"153",0.000741857085977404
"154",0.000712293140875175
"155",0.000669619173666369
"156",0.00046742889746576
"157",0.000523462157197008
"158",0.000676037378430694
"159",0.000535722276417294
"160",0.000660137601346422
"161",0.000640064555728292
"162",0.000648989556480073
"163",0.000640622350227771
"164",0.00048637682293573
"165",0.000600495257282896
"166",0.000661260224134042
"167",0.0006883067513348
"168",0.000697793298528371
"169",0.000715638185411871
"170",0.000707267052608929
"171",0.000676313588176214
"172",0.000671297065000465
"173",0.000676593342139986
"174",0.000662652779165107
"175",0.000678267487768558
"176",0.000682449813047992
"177",0.0006899813832415
"178",0.000550501268695491
"179",0.000689161502563929
"180",0.000671599929654931
"181",0.000623890007908079
"182",0.00058433854492379
"183",0.000528441241383737
"184",0.000639789673063884
"185",0.000665999584708699
"186",0.000673804144065482
"187",0.00066850754098402
"188",0.000670182565686961
"189",0.000677709402491011
"190",0.000678267916996766
"191",0.000684399666466495
"192",0.000545487321044202
"193",0.000677987688172843
"194",0.000683847685559957
"195",0.000682447732169189
"196",0.000657354252179054
"197",0.000665440428114783
"198",0.000535655235935462
"199",0.000670528675769555
"200",0.000669570712754197
"201",0.000673555153552829
"202",0.00054729702133649
"203",0.000699047363864835
"204",0.000562243362954185
"205",0.000646683459663455
"206",0.000599788368825349
"207",0.000624389086257171
"208",0.000525637875612217
"209",0.000536161982452654
"210",0.000687749263968085
"211",0.00068356310251394
"212",0.000543322723477013
"213",0.000672411665998629
"214",0.000672760703632314
"215",0.000677078841067713
"216",0.00051509063821209
"217",0.000645784720947784
"218",0.000665864320770648
"219",0.000686842196868653
"220",0.000715017513005956
"221",0.000574240661390668
"222",0.000682596569594685
"223",0.000709433240619228
"224",0.000700088322731274
"225",0.000691793119005801
"226",0.0006728310645705
"227",0.000666275662239979
"228",0.000645990112188688
"229",0.000619923350400509
"230",0.000472026437970285
"231",0.000614561231971233
"232",0.000612462388670076
"233",0.000640838895726858
"234",0.000680359533406172
"235",0.000551727189584517
"236",0.000637766763530889
"237",0.000673949586954325
"238",0.000698348334282173
"239",0.000696112035476482
"240",0.00068573291876306
"241",0.000723309509278902
"242",0.000714246517994788
"243",0.000671775660103791
"244",0.000511199813401308
"245",0.000660001577407643
"246",0.000650034170811109
"247",0.000618389922379947
"248",0.000638394311348378
"249",0.000644599121775169
"250",0.000512657340121292
"251",0.000650520013913969
"252",0.000660370073954031
"253",0.000677529343099392
"254",0.000526879014344006
"255",0.000644944442529605
"256",0.000490064969257187
"257",0.000679776889718209
"258",0.00067871338476877
"259",0.000694092757797415
"260",0.000556951091173374
"261",0.000552553490866359
"262",0.000677226741292003
"263",0.000700993319312504
"264",0.000542975009602431
"265",0.000673664341954483
"266",0.000661746131664254
"267",0.000666760726021565
"268",0.00051132871542503
"269",0.000637288487940424
"270",0.000688378335299111
"271",0.000710758507312947
"272",0.000725897091362837
"273",0.000748416082732684
"274",0.000728394754445638
"275",0.000552494444455709
"276",0.000698484442641867
"277",0.000676943648006523
"278",0.000650520682194511
"279",0.00066369640163999
"280",0.000663904702181028
"281",0.000646199610464526
"282",0.000505475602706751
"283",0.000652685437406042
"284",0.000665439605795903
"285",0.000669900785576605
"286",0.000653239712784748
"287",0.000524684736134429
"288",0.000637490294029819
"289",0.000651361023254138
"290",0.000668788275587362
"291",0.000660557915537208
"292",0.000668157095819355
"293",0.000655607804695535
"294",0.000640139781250992
"295",0.000659718249175434
"296",0.000628775414564631
"297",0.000489025746301275
"298",0.000584952367497227
"299",0.000604240495849284
"300",0.000457892116356939
"301",0.00042073720723268
"302",0.000399236175857354
"303",0.000464714496566598
"304",0.000456236015485834
"305",0.00046013350046703
"306",0.000382822502571045
"307",0.000504265107186708
"308",0.000447975585582627
"309",0.000600064049719018
"310",0.000579015766108082
"311",0.000560487789351027
"312",0.000479603230680636
"313",0.000485167786122398
"314",0.000610100670888736
"315",0.000630027340793315
"316",0.000462550699546593
"317",0.000593373011783749
"318",0.000571292423911407
"319",0.000604384457264739
"320",0.000476767933556221
"321",0.000595666441299381
"322",0.000604457414005388
"323",0.000617902157757033
"324",0.000613790688525739
"325",0.000633174398587455
"326",0.000526704190234373
"327",0.000612465383455829
"328",0.000590444448128613
"329",0.000583619053020623
"330",0.000606334281421095
"331",0.000609884879106515
"332",0.000608705153320566
"333",0.000587238159152514
"334",0.000598876274460203
"335",0.000469377379186842
"336",0.000521825486812455
"337",0.000531653773939267
"338",0.000574214677536489
"339",0.000579646721784011
"340",0.00047202909352051
"341",0.00061539575787517
"342",0.000610516364930147
"343",0.000613301700889135
"344",0.000588846358453354
"345",0.000600548884823748
"346",0.000594419121226819
"347",0.000638530346795063
"348",0.000615741544981674
"349",0.000466941331831006
"350",0.000582366600762052
"351",0.000616718359426782
"352",0.000607378806490422
"353",0.000598601687898936
"354",0.000491558044580565
"355",0.000623012627574804
"356",0.000602096761495696
"357",0.000594444235353819
"358",0.000509554630828024
"359",0.000567794682909906
"360",0.000395539468154515
"361",0.000569274150802546
"362",0.000630452847992791
"363",0.000692016065545475
